,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,address,chainCode,city,latitude,longitude,anchor_latitude,anchor_longitude,hasServiceFee,serviceFeeAmount(%),updateDate,tags
124,鄉村鮮味小站,gubt,3,['台式'],False,19.0,79.0,40.0,15.0,2.756,128,(△)宜蘭縣礁溪鄉中山路二段142號,gubt,Yilan County,24.82646751,121.77348254,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
125,發財宵夜,an2b,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,2.794,51,(△)宜蘭縣礁溪鄉中山路二段115號,an2b,Yilan County,24.8260514,121.7730589,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
126,秘製滷味現切水果,gect,2,"['小吃', '滷味']",False,19.0,79.0,40.0,15.0,2.825,0,(△)宜蘭縣礁溪鄉中山路二段96之3號,gect,Yilan County,24.8252953,121.772689,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
127,鍋癮,qy8g,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,2.83,748,(△)宜蘭縣礁溪鄉礁溪路五段142號,qy8g,Yilan County,24.8280761,121.7729767,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 享 9 折""}, {""code"": ""SUPER_VENDOR"", ""text"": ""NEXTGEN_SUPER_VENDOR""}]"
128,果飽．複合式餐飲,nhfq,1,['甜點'],False,19.0,79.0,40.0,15.0,2.84,60,(△)宜蘭縣礁溪鄉礁溪路五段144號,nhfq,Yilan County,24.828135,121.77288918,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 享 9 折""}]"
129,大眾滷味 (宜蘭礁溪店),k3if,2,"['小吃', '滷味']",False,19.0,79.0,40.0,15.0,2.842,1777,(△)宜蘭縣礁溪鄉礁溪路五段140號,o2mk,Yilan County,24.8280063,121.7728471,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
130,宜蘭人甘草芭樂 (宜蘭礁溪店),ceei,2,['甜點'],False,19.0,79.0,40.0,15.0,2.842,214,(△)宜蘭縣礁溪鄉礁溪路五段140號,f1jy,Yilan County,24.8280063,121.7728471,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 享 95 折""}]"
131,大豬滷味,bgt8,2,"['小吃', '滷味']",False,19.0,79.0,40.0,15.0,2.844,133,(△)宜蘭縣礁溪鄉礁溪路五段138號,bgt8,Yilan County,24.82811653,121.77283973,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
132,永昌海鮮快炒,y71l,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,2.886,75,(△)宜蘭縣礁溪鄉礁溪路五段118號,y71l,Yilan County,24.8277783,121.77236212,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
133,礁溪太祖魷魚羹,df4d,1,['台式'],False,19.0,79.0,40.0,15.0,2.956,762,(△)宜蘭縣礁溪鄉中山路一段322號,df4d,Yilan County,24.82295492,121.77137481,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $300 享 85 折""}]"
134,泰正點,d69s,2,"['泰式', '東南亞']",False,19.0,79.0,40.0,15.0,2.972,45,(△)宜蘭縣礁溪鄉德陽路30號,d69s,Yilan County,24.82872,121.7716776,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
135,姐姐餐車,fony,1,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,2.973,28,(△)宜蘭縣礁溪鄉中山路一段288號 (騎樓),fony,Yilan County,24.8219952,121.7712644,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""NEW"", ""text"": ""NEXTGEN_NEW_TAG""}]"
136,燒烤俠,veuu,1,"['燒烤', '小吃']",False,19.0,79.0,40.0,15.0,2.978,26,(△)宜蘭縣礁溪鄉中山路二段81號,veuu,Yilan County,24.82882665,121.77163544,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
137,老媽蔥油餅,qu82,2,['小吃'],False,19.0,79.0,40.0,15.0,2.985,112,(△)宜蘭縣礁溪鄉仁愛路15巷16號,qu82,Yilan County,24.82741157,121.77131477,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $200 享 9 折""}]"
138,潮州牛雜,f78x,2,['台式'],False,19.0,79.0,40.0,15.0,2.986,11,(△)宜蘭縣礁溪鄉信義路1號,lfdn,Yilan County,24.82584051,121.77113223,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
139,軟軟手工豆花清涼飲品,dtnf,1,"['咖啡', '豆花', '飲料']",False,19.0,79.0,40.0,15.0,2.987,6,(△)宜蘭縣壯圍鄉大福路一段122巷21號,dtnf,Yilan County,24.7988281,121.811195,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
140,悟饕池上飯包 (宜蘭礁溪店),hxg6,1,"['便當', '台式']",False,19.0,79.0,40.0,15.0,2.989,626,(△)宜蘭縣礁溪鄉礁溪路五段5巷1號,ky5q,Yilan County,24.8254211,121.77107344,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
141,168小火鍋,tg07,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,3.011,30,(△)宜蘭縣礁溪鄉礁溪路五段1之2號,tg07,Yilan County,24.8254079,121.77085787,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
